Category,model_name,strategy_name,level,n_predictions,n_correct,accuracy,mean_latency_ms,median_latency_ms,accuracy_pct
History,phi4-14b,dynamic_few_shot_k3,13,8,7,0.875,8127.375,7929.0,87.5
History,phi4-14b,dynamic_few_shot_k3,14,6,6,1.0,8765.833333333334,9176.0,100.0
History,phi4-14b,dynamic_few_shot_k3,15,9,9,1.0,9266.555555555555,9621.0,100.0
History,phi4-14b,zero_shot,1,21,21,1.0,8343.380952380952,8069.0,100.0
History,phi4-14b,zero_shot,2,21,19,0.9047619047619048,8481.52380952381,8824.0,90.48
History,phi4-14b,zero_shot,3,12,11,0.9166666666666666,8596.25,8282.0,91.67
History,phi4-14b,zero_shot,4,12,11,0.9166666666666666,9162.416666666666,9594.0,91.67
History,phi4-14b,zero_shot,5,17,17,1.0,8481.117647058823,8863.0,100.0
History,phi4-14b,zero_shot,6,23,20,0.8695652173913043,8112.826086956522,7787.0,86.96
History,phi4-14b,zero_shot,7,18,17,0.9444444444444444,8203.888888888889,8037.5,94.44
History,phi4-14b,zero_shot,8,15,11,0.7333333333333333,8251.066666666668,8533.0,73.33
History,phi4-14b,zero_shot,9,7,7,1.0,8108.714285714285,8070.0,100.0
History,phi4-14b,zero_shot,10,5,4,0.8,8560.0,8593.0,80.0
History,phi4-14b,zero_shot,11,11,9,0.8181818181818182,8230.272727272728,8492.0,81.82
History,phi4-14b,zero_shot,12,15,14,0.9333333333333333,8319.2,8229.0,93.33
History,phi4-14b,zero_shot,13,8,7,0.875,8745.25,8373.5,87.5
History,phi4-14b,zero_shot,14,6,6,1.0,7924.5,7968.5,100.0
History,phi4-14b,zero_shot,15,9,9,1.0,8911.0,9034.0,100.0
