Category,model_name,strategy_name,n_predictions,mean_latency_ms,median_latency_ms,min_latency_ms,p10_latency_ms,p25_latency_ms,p75_latency_ms,p90_latency_ms,max_latency_ms
History,gemma3-12b,dynamic_few_shot_k3,200,12211.04,12189.5,5342,9258.5,10537.5,14184.75,15369.6,18719
History,gemma3-12b,wiki_rag,200,15962.665,16265.0,5366,12607.2,14452.0,17727.5,18945.6,21121
History,granite-8b,dynamic_few_shot_k3,200,5681.975,5432.5,2804,3874.3,4316.25,6881.75,8165.2,10798
History,granite-8b,wiki_rag,200,8369.07,8260.0,4405,6353.7,7253.0,9172.0,9959.5,44901
History,phi4-14b,dynamic_few_shot_k3,200,8208.665,8130.5,5412,6464.8,7184.25,9379.75,9925.1,11206
History,phi4-14b,zero_shot,200,8406.135,8319.0,5568,6886.3,7538.5,9224.0,10013.9,12003
